职位,公司,薪资,公司福利,招聘信息,职位信息,职能类别,公司地址 
运营专员,广州市盛朋电子产品有限公司,3-5.5千/月,,广州-番禺区|无工作经验|大专|招2人|03-09发布|市场营销电子商务,岗位职责：1.负责系统的日常管理、更新与维护；2.定期的策划活动，做好活动赠品需求的计划与采购；3.管理货品调拨，更新库存信息；4.公司库存产品分析和库存管理以及采购预算分析5.整理及完善客户信息，并进行分析，维护好客户关系；6.定期收集和分析运营数据，制定运营方案并实施，定期针对平台推广效果进行跟踪、评估，并给出切实可行的改进方案；7.领导安排的其他工作任务；任职资格：1、大专及以上学历，优秀者可放宽学历要求，市场营销专业、电子商务专业优先；2、具备产品策划、互联网运营等相关专业知识（优秀应届毕业生也可）；3、良好的沟通能力，细致有责任心，抗压能力和执行能力强；福利待遇：1、薪资待遇：+++；2、假期：，节假日按国家规定放假；3、环境：高级商务写字楼（）；4、福利多多：；5、学习机会：、在职培训......；6、团队年轻朝气，充满活力，非常！广州市番禺区市桥捷进二路18号宇弘广场206B（市桥地铁站附近）广州市盛朋电子产品有限公司民营公司少于50人,网站运营专员网店/淘宝运营运营专员新媒体商城线上网络电子商务,广州市番禺区市桥捷进二路18号宇弘广场206B（市桥地铁站附近）
销售代表（高薪，周末双休，五险一金）,广州市博立信息科技有限公司,1-3万/月,周末双休专业培训全勤奖节日福利绩效奖金,广州-黄埔区|无工作经验|大专|招5人|03-08发布|普通话良好|市场营销计算机网络,职位描述/岗位要求：职责：－面向IT系统集成商、经销商销售网络产品和提供服务；－开拓新客户资源，拓展销售渠道；－维护并提升客户关系、完成销售任务。要求：－大专及以上学历；熟练使用Office等办公常用软件；－有IT行业销售经验者优先；－熟悉计算机网络产品，熟悉IT市场者优先，－具备分析和把握客户的能力，善于长期维护和提升客户关系；－良好的市场敏锐感，善于挖掘和利用资源；－具有很强的综合能力；喜欢有挑战性的工作；－能够在工作中迅速提升自己的专业技术；喜欢团队合作；-欢迎优秀的应届毕业生加入我们的团队！！公司福利：1、工资待遇：底薪加提成，并为员工购买社保；2、上班时间：9:00-18:00，双休。享受国定法定节假日。4、活动：不定期以团队为单位举办员工聚餐、旅游活动、节日活动等。5、福利：过节礼品、生日礼金等多项福利。6、环境：交通便利，无需外出办公，白领化办公环境。上班时间：9:00-18:00，双休简历转发到邮箱：tangyi@gzboli.comboli@gzboli.com.cn科学城绿地中央广场A1栋2407-2408广州市博立信息科技有限公司民营公司150-500人,渠道/分销专员销售代表,科学城绿地中央广场A1栋2407-2408
售前工程师（偏销售方向）,广州市科迅电子科技有限公司,0.4-1万/月,,广州-天河区|无工作经验|大专|招若干人|03-08发布|普通话熟练粤语一般,岗位职责：1、负责所管辖区域的产品销售任务；2、开拓新市场，发展新客户，增加产品销售范围；3、维护及增进已有客户关系；4、负责收集市场和行业信息，为产品销售提供可实行方案YOUNEED具备几个特点：1.只要你是有志青年、男女均可;2.你确定你不是一个“安于现状”、而不求进取的人;3.想在广州买房的请过来；4.你有能力，我有空间‘’5.没有高额奖金?没有假期?科迅全都有!6.受够了吃土的日子?科迅可以让你吃香喝辣!7.听不懂她们在讲什么?我们会有各种培训，让你无所不知!8.世界辣么大，来我这里赚够了就能尽情浪!9.科迅的销售人，赚钱、赚钱、最赚钱!10.高薪不是问题，问题是你敢来吗?以上特征如果你确实都具备，或者你能够对不足的地方做出调整，那么请尽快联系我们，我们随时欢迎你的加入。工资结构：底薪+高得离谱的提成+社保+年终奖，基本上我们的工作时间是与国有企业同步的，每周五天我们是要在一起工作的、周末你是完全自由的!我们不以高底薪来吸引懒人，只有高提成和广阔的发展平台帮助你实现你的理想!我们不差钱，只差对钱有欲望的人才!想好了就call我们吧!天河南二路宏发大厦610广州市科迅电子科技有限公司民营公司少于50人,销售代表销售工程师销售业务营销工程师市场,天河南二路宏发大厦610
运营专员,广州市盛朋电子产品有限公司,3-5.5千/月,,广州-番禺区|无工作经验|大专|招2人|03-07发布,岗位职责：1.负责系统的日常管理、更新与维护；2.定期的策划活动，做好活动赠品需求的计划与采购；3.管理货品调拨，更新库存信息；4.公司库存产品分析和库存管理以及采购预算分析5.整理及完善客户信息，并进行分析，维护好客户关系；6.定期收集和分析运营数据，制定运营方案并实施，定期针对平台推广效果进行跟踪、评估，并给出切实可行的改进方案；7.领导安排的其他工作任务；任职资格：1、大专及以上学历，优秀者可放宽学历要求，市场营销专业、电子商务专业优先；2、具备产品策划、互联网运营等相关专业知识（优秀应届毕业生也可）；3、良好的沟通能力，细致有责任心，抗压能力和执行能力强；福利待遇：1、薪资待遇：+++；2、假期：，节假日按国家规定放假；3、环境：高级商务写字楼（）；4、福利多多：；5、学习机会：、在职培训......；6、团队年轻朝气，充满活力，非常！广州市番禺区市桥捷进二路18号宇弘广场206B（市桥地铁站附近）广州市盛朋电子产品有限公司民营公司少于50人,网店/淘宝运营运营助理专员电子商务专员微信商城小程序,广州市番禺区市桥捷进二路18号宇弘广场206B（市桥地铁站附近）
中国电信政企客户代表,广州市开利网络科技有限公司,6-8千/月,五险一金员工旅游绩效奖金定期体检交通补贴,广州-海珠区|无工作经验|大专|招100人|03-04发布,岗位职责：1、对商业客户进行电信产品销售。包括：进行客户拜访，预测需求，挖掘商机，组织开展销售活动。2、响应客户需求和维系客户关系，收集市场发展动态和竞争信息。中国电信各分局就近安排，不是外包商!!!任职要求：1、全日制大专及以上学历，专业不限，男女不限。年龄18-35岁2、五官端正，身体健康，普通话标准，表达能力良好。3、有敏锐的市场洞察力和前瞻性的市场预测力，有较好的销售意识和服务意识。4、具有良好的人际交往能力，有责任心，具有团队意识，能够较好的处理解决工作上遇到的问题并拥有良好的抗压能力。5、接受应届生，有无经验即可。上班时间：五天八小时（周末双休)薪酬福利：1、新员工享受公司带薪培训.2、正式入职后底薪+高额提成，月均税前工资6000-8000（包含五险一金、商业保险、生活补贴、高额提成等）。一经录用，公司将提供优厚的薪酬福利和发展空间；3、员工享受年假、婚假等各种福利；4、国家法定节假日正常休息；5、公司定期组织丰富的员工活动（娱乐活动、拓展等）。职位晋升渠道：商客经理每半年根据业绩进行评选，表现优秀者有机会参与星级经理的评选，并获得对应等级的奖金；工作地点：广州市内各区，可根据个人情况就近安排；面试地址：广州市越秀区越秀南路185号创举商务大厦18楼（广东邮电人才服务有限公司广州分公司）海珠区建基路71号（交通便利：地铁晓港站，步行仅需10分钟，附近公交线路发达）。广州市开利网络科技有限公司民营公司50-150人,销售代表销售客户面销电销,海珠区建基路71号（交通便利：地铁晓港站，步行仅需10分钟，附近公交线路发达）。
销售助理,广东盈通网络投资有限公司,3-4.5千/月,,广州|无工作经验|大专|招若干人|03-01发布,工作职责：1、负责办公室日常事务，安排会谈等。2、负责呈报本部门各类文件的收发、汇总、送签、跟踪及催办。3、协助销售跟踪销售订单的进度情况。4、协助销售发起咨询、评估、会签流程。5、协助技术部门完成投标要求。6、协助销售、客服进行相关的投标工作7、完成上级领导下达的其他任务。任职要求：1、大专以上学历，工商管理等相关专业毕业。2、对通信行业有一定了解，了解财务基本知识。3、熟练使用操作办公自动化设备，如计算机、打印机等。4、良好的沟通、协调、文字表达能力。5、条理性强，工作认真负责、踏实耐心，良好的沟通协调能力与团队协作能力。天河区中山大道华景路71-73号3楼广东盈通网络投资有限公司国企500-1000人,销售行政专员客服专员/助理,天河区中山大道华景路71-73号3楼
平面设计师（欢迎应届生）,广东开建智能科技有限公司,3-4.5千/月,,广州|无工作经验|大专|招3人|03-01发布,1.根据项目，充分了解客户需求、按照客户要求完成平面设计工作；2.精通PhotoShop、Illustrator、CorelDraw、等设计软件；3.具有良好的职业素养，责任心强，勇于接受挑战，能够承受工作压力，有团队协作精神。番禺区迎星中路骏盈大厦广东开建智能科技有限公司民营公司少于50人,平面设计师,番禺区迎星中路骏盈大厦
网页及APP开发工程师,广东开建智能科技有限公司,6-8千/月,,广州|无工作经验|大专|招3人|03-01发布,1、专科及以上学历，对互联网有兴趣，想进入IT行业；2、理工科专业，计算机、电子类专业有编程基础者优先；3、有良好的沟通能力、团队协作能力和较强的学习能力；岗位职责：1、对计算机类、对网页、app开发感兴趣，热爱软件开发类工作；2、善于学习新技术，解决项目中的问题，以解决产品需求；3、能独立思考和创新，和团队一起达成良好合作并完成项目任务。番禺区迎星中路骏盈大厦广东开建智能科技有限公司民营公司少于50人,软件工程师,番禺区迎星中路骏盈大厦
文案策划,广州市盛朋电子产品有限公司,3.5-6千/月,,广州-番禺区|无工作经验|大专|招2人|02-21发布,岗位职责1、根据公司营销策略和方案，撰写宣传资料和相关活动文案；2、根据公司产品、服务规划，编写产品、服务广告和宣传文案；3、负责活动文案撰写，独立完成各项文案及相关文字工作；4、负责项目推广执行涉及的相关软文及配图文案的撰写；5、为各项活动提供强有力的文案支持，能出色展现策略点的精髓。任职资格1、大专及以上学历，有相关工作经验者优先；2、热衷文字处理工作、耐心、细致、执行力强，对品牌推广及管理有较强的执行能力；3、具有较强的策略性、创造性，较强的语言掌控能力及较好的文字功底；4、创意能力强、思维敏捷、善于沟通、具有良好的语言表达能力；福利待遇：1、薪资待遇：+++；2、假期：，节假日按国家规定放假；3、环境：高级商务写字楼（）；4、福利多多：；5、学习机会：、在职培训......；6、团队年轻朝气，充满活力，非常！广州市番禺区市桥捷进二路18号宇弘广场206B（市桥地铁站附近）广州市盛朋电子产品有限公司民营公司少于50人,文案/策划文案编辑撰写新媒体公众号,广州市番禺区市桥捷进二路18号宇弘广场206B（市桥地铁站附近）
网络维护工程师,广州安粤信息科技有限公司,3-4.5千/月,,广州-海珠区|无工作经验|大专|招2人|02-19发布,1、负责桌面电脑设备，网络设备的日常运行监控以及各类网络故障的处理，对机房内各类硬件设备包括PC服务器、存储、网络设备等进行定期的物理检查和性能检测及维护，完整正确记录运行日志，建立运行维护档案，受理和跟踪处理各类运行故障；2、整理网络拓扑、IP规划分布、布线系统等文档资料，及时按要求撰写、更新工作及技术文档；3、负责配合公司交付部门做应用程序部署、监测及应用程序故障定位，负责做好运行平台的配置、安装和维护工作；4、负责系统运维保障、灾难恢复、安全策略、系统重建、故障响应工作，保障机柜等基础环境设施的正常运行，提供及时的故障响应。任职要求：1、大学专科及以上学历，网络工程或相关专业；2、1-2年系统网络运维相关工作经验；3、熟悉监控、系统集成相关业务，有网络工程师证书者优先考虑；4、有较好的沟通能力及团队协作能力，工作认真负责、积极主动、吃苦耐劳；新港西路大江冲25号5梯101广州安粤信息科技有限公司民营公司少于50人,技术支持/维护工程师售前/售后技术支持工程师,新港西路大江冲25号5梯101
商务助理,广州安粤信息科技有限公司,2-3千/月,,广州-海珠区|无工作经验|大专|招1人|02-19发布|普通话,岗位职责：1、日常行政管理的运作（包括办公制度维护、资产管理、会务安排）；2、协助公司对外接待工作；3、协助公司内部各项定期和不定期集体活动；4、上级安排的其它事项。任职要求：1、大专及以上学历，人力资源管理、工商管理、行政管理、心理学等专业优先；2、2019届、2020届在校生，一周出勤4天左右，能全职者优先（若还有课程可按照情况沟通上班时间）；3、沟通能力强，逻辑思路清晰，具备较强的语言表达能力及文字表述能力；4、具有高度责任心和团队合作精神，积极热情；5、熟练使用办公软件。新港西路大江冲25号5梯101广州安粤信息科技有限公司民营公司少于50人,销售行政助理商务助理,新港西路大江冲25号5梯101
文案策划,广州市盛朋电子产品有限公司,3.5-6千/月,,广州-番禺区|无工作经验|大专|招2人|02-17发布,岗位职责1、根据公司营销策略和方案，撰写宣传资料和相关活动文案；2、根据公司产品、服务规划，编写产品、服务广告和宣传文案；3、负责活动文案撰写，独立完成各项文案及相关文字工作；4、负责项目推广执行涉及的相关软文及配图文案的撰写；5、为各项活动提供强有力的文案支持，能出色展现策略点的精髓。任职资格1、大专及以上学历，有相关工作经验者优先；2、热衷文字处理工作、耐心、细致、执行力强，对品牌推广及管理有较强的执行能力；3、具有较强的策略性、创造性，较强的语言掌控能力及较好的文字功底；4、创意能力强、思维敏捷、善于沟通、具有良好的语言表达能力；福利待遇：1、薪资待遇：+++；2、假期：，节假日按国家规定放假；3、环境：高级商务写字楼（）；4、福利多多：；5、学习机会：、在职培训......；6、团队年轻朝气，充满活力，非常！广州市番禺区市桥捷进二路18号宇弘广场206B（市桥地铁站附近）广州市盛朋电子产品有限公司民营公司少于50人,文案/策划文案策划编辑撰写公众号推文,广州市番禺区市桥捷进二路18号宇弘广场206B（市桥地铁站附近）
文案策划,广州市盛朋电子产品有限公司,3.5-6千/月,,广州-番禺区|无工作经验|大专|招2人|02-17发布,岗位职责1、根据公司营销策略和方案，撰写宣传资料和相关活动文案；2、根据公司产品、服务规划，编写产品、服务广告和宣传文案；3、负责活动文案撰写，独立完成各项文案及相关文字工作；4、负责项目推广执行涉及的相关软文及配图文案的撰写；5、为各项活动提供强有力的文案支持，能出色展现策略点的精髓。任职资格1、大专及以上学历，有相关工作经验者优先；2、热衷文字处理工作、耐心、细致、执行力强，对品牌推广及管理有较强的执行能力；3、具有较强的策略性、创造性，较强的语言掌控能力及较好的文字功底；4、创意能力强、思维敏捷、善于沟通、具有良好的语言表达能力；福利待遇：1、薪资待遇：+++；2、假期：，节假日按国家规定放假；3、环境：高级商务写字楼（）；4、福利多多：；5、学习机会：、在职培训......；6、团队年轻朝气，充满活力，非常！广州市番禺区市桥捷进二路18号宇弘广场206B（市桥地铁站附近）广州市盛朋电子产品有限公司民营公司少于50人,文案/策划文案编辑撰写新媒体公众号,广州市番禺区市桥捷进二路18号宇弘广场206B（市桥地铁站附近）
资深文案策划,广州市盛朋电子产品有限公司,3.5-6千/月,,广州-番禺区|无工作经验|大专|招2人|02-14发布,岗位职责1、根据公司营销策略和方案，撰写宣传资料和相关活动文案；2、根据公司产品、服务规划，编写产品、服务广告和宣传文案；3、负责活动文案撰写，独立完成各项文案及相关文字工作；4、负责项目推广执行涉及的相关软文及配图文案的撰写；5、为各项活动提供强有力的文案支持，能出色展现策略点的精髓。任职资格1、大专及以上学历，有相关工作经验者优先；2、热衷文字处理工作、耐心、细致、执行力强，对品牌推广及管理有较强的执行能力；3、具有较强的策略性、创造性，较强的语言掌控能力及较好的文字功底；4、创意能力强、思维敏捷、善于沟通、具有良好的语言表达能力；福利待遇：1、薪资待遇：+++；2、假期：，节假日按国家规定放假；3、环境：高级商务写字楼（）；4、福利多多：；5、学习机会：、在职培训......；6、团队年轻朝气，充满活力，非常！广州市番禺区市桥捷进二路18号宇弘广场206B（市桥地铁站附近）广州市盛朋电子产品有限公司民营公司少于50人,文案/策划文案策划编辑撰写公众号推文,广州市番禺区市桥捷进二路18号宇弘广场206B（市桥地铁站附近）
运营专员,广州市盛朋电子产品有限公司,3-5.5千/月,,广州-番禺区|无工作经验|大专|招2人|01-28发布,岗位职责：1.负责系统的日常管理、更新与维护；2.定期的策划活动，做好活动赠品需求的计划与采购；3.管理货品调拨，更新库存信息；4.公司库存产品分析和库存管理以及采购预算分析5.整理及完善客户信息，并进行分析，维护好客户关系；6.定期收集和分析运营数据，制定运营方案并实施，定期针对平台推广效果进行跟踪、评估，并给出切实可行的改进方案；7.领导安排的其他工作任务；任职资格：1、大专及以上学历，优秀者可放宽学历要求，市场营销专业、电子商务专业优先；2、具备产品策划、互联网运营等相关专业知识（优秀应届毕业生也可）；3、良好的沟通能力，细致有责任心，抗压能力和执行能力强；福利待遇：1、薪资待遇：+++；2、假期：，节假日按国家规定放假；3、环境：高级商务写字楼（）；4、福利多多：；5、学习机会：、在职培训......；6、团队年轻朝气，充满活力，非常！广州市番禺区市桥捷进二路18号宇弘广场206B（市桥地铁站附近）广州市盛朋电子产品有限公司民营公司少于50人,网站运营专员运营专员新媒体商城线上网络电子商务,广州市番禺区市桥捷进二路18号宇弘广场206B（市桥地铁站附近）
退信/退卡外呼岗（全职/实习生）,佛山市宗泽科技有限公司,3-4.5千/月,,佛山-南海区|无工作经验|大专|招10人|01-26发布,广发银行信用卡中心95508初级【退信退卡专席】电话客服专员1、执行广发信用卡客户退信，退卡外呼工作，并实施具体地服务处理流程。2、通过电话形式与客户沟通，处理客户的业务要求。外呼客户确认并完善资料，使客户卡片有效寄达，排除风险等；以及其他需外呼支援的项目1、大专学历全职/19届已经结课的实习生2、良好的客服意识，善于发掘客户的需求并提供高质量的服务3、普通话标准，较好的沟通协调能力，执行力强：1、具竞争力的薪酬激励：基本工资+月度奖金+年度奖金月薪3500-4000左右；2、完善的保险福利：社会保险（五险）+住房公积金+其他福利待遇等；3、各式培训及晋升机会：岗前带薪专业技能培训+个人能力素质培训等+培训平台+广阔的发展空间4、南海上班免费工作餐，公司南海场地自有食堂提供一日三餐，每月有￥380餐补费打入饭卡；5、公司定期组织团队活动，如户外活动、生日会、联欢会、公司竞赛奖励、年会等；6、可享受带薪年休假。千灯湖灯湖东路6号（广佛地铁千灯湖C出口）佛山市宗泽科技有限公司民营公司少于50人,实习生咨询热线/呼叫中心服务人员,千灯湖灯湖东路6号（广佛地铁千灯湖C出口）
银行总行客服服务中心/实习生F,广州星稀信息科技有限责任公司,3-4.5千/月,,佛山-南海区|无工作经验|大专|招10人|01-26发布,"？负责接听广发银行客户的来电咨询与建议，解答客户关于业务方面的问题，为客户提供优质的电话服务？2200元/月+免费住宿+餐补（300元/月）+额外个人奖金（300-1000元/月）毕业后薪酬幅度：4200-5500元/月，可优先内部考核转全职员工；？培训期行政班，培训后08:30-22:30内每天工作8小时，月轮休7-8日？佛山南海千灯湖广发金融中心总部（地铁：广佛线千灯湖站附近）？全日制大专或本科实习生、专业不限；2、普通话标准（不要求粤语），表达流畅；3、有志于在金融行业发展。？1、一经录用入职，提供餐补，并享有免费自有员工套间宿舍,4-6人/间；2、享受国家规定的公众假期；享受带薪培训：新员工培训体系—在职员工培训体系+高潜人才培养体系—管理人员培养体系等；3、优秀企业文化，公司强大的平台，提供广阔的发展空间；4、奖励：设有优秀员工奖、***进步奖、优秀管理奖等多个奖项；5、丰富多彩的员工主题活动，如年度旅游、俱乐部活动、生日会、年会等；6、实习期满半年，开具正规实习证明。？1、完善的福利机制：有五险一金及年度带薪年假；2、按照劳动法为员工提供各项综合带薪假期，包括年假、婚假、产假等；3、年终激励奖金、开门利是等，每年有机会享受调薪福利。？实习生-初级专员-中级专员-高级专员-主任-初级经理-经理千灯湖灯湖东路6号（地铁广佛线千灯湖站C出口）广州星稀信息科技有限责任公司民营公司50-150人",酒店前台预定员,千灯湖灯湖东路6号（地铁广佛线千灯湖站C出口）
4k包住银行中心客服实习生F,广州星稀信息科技有限责任公司,3-4.5千/月,,佛山-南海区|无工作经验|大专|招10人|01-26发布,"？负责接听广发银行客户的来电咨询与建议，解答客户关于业务方面的问题，为客户提供优质的电话服务？2200元/月+免费住宿+餐补（300元/月）+额外个人奖金（300-1000元/月）毕业后薪酬幅度：4200-5500元/月，可优先内部考核转全职员工；？培训期行政班，培训后08:30-22:30内每天工作8小时，月轮休7-8日？佛山南海千灯湖广发金融中心总部（地铁：广佛线千灯湖站附近）？全日制大专或本科实习生、专业不限；2、普通话标准（不要求粤语），表达流畅；3、有志于在金融行业发展。？1、一经录用入职，提供餐补，并享有免费自有员工套间宿舍,4-6人/间；2、享受国家规定的公众假期；享受带薪培训：新员工培训体系—在职员工培训体系+高潜人才培养体系—管理人员培养体系等；3、优秀企业文化，公司强大的平台，提供广阔的发展空间；4、奖励：设有优秀员工奖、***进步奖、优秀管理奖等多个奖项；5、丰富多彩的员工主题活动，如年度旅游、俱乐部活动、生日会、年会等；6、实习期满半年，开具正规实习证明。？1、完善的福利机制：有五险一金及年度带薪年假；2、按照劳动法为员工提供各项综合带薪假期，包括年假、婚假、产假等；3、年终激励奖金、开门利是等，每年有机会享受调薪福利。？实习生-初级专员-中级专员-高级专员-主任-初级经理-经理千灯湖灯湖东路6号（地铁广佛线千灯湖站C出口）广州星稀信息科技有限责任公司民营公司50-150人",咨询热线/呼叫中心服务人员投诉专员,千灯湖灯湖东路6号（地铁广佛线千灯湖站C出口）
3K+双休银行后勤客服文员F,广州星稀信息科技有限责任公司,3-4.5千/月,,佛山-南海区|无工作经验|大专|招10人|01-26发布,"？负责接听广发银行客户的来电咨询与建议，解答客户关于业务方面的问题，为客户提供优质的电话服务？2200元/月+免费住宿+餐补（300元/月）+额外个人奖金（300-1000元/月）毕业薪酬幅度：4200-5500元/月，可优先内部考核转全职员工；？培训期行政班，培训后08:30-22:30内每天工作8小时，月轮休7-8日？佛山南海千灯湖广发金融中心总部（地铁：广佛线千灯湖站附近）？全日制大专或本科实习生、专业不限；2、普通话标准（不要求粤语），表达流畅；3、有志于在金融行业发展。？1、一经录用入职，提供餐补，并享有免费自有员工套间宿舍,4-6人/间；2、享受国家规定的公众假期；享受带薪培训：新员工培训体系—在职员工培训体系+高潜人才培养体系—管理人员培养体系等；3、优秀企业文化，公司强大的平台，提供广阔的发展空间；4、奖励：设有优秀员工奖、***进步奖、优秀管理奖等多个奖项；5、丰富多彩的员工主题活动，如年度旅游、俱乐部活动、生日会、年会等；6、实习期满半年，开具正规实习证明。？1、完善的福利机制：有五险一金及年度带薪年假；2、按照劳动法为员工提供各项综合带薪假期，包括年假、婚假、产假等；3、年终激励奖金、开门利是等，每年有机会享受调薪福利。？实习生-初级专员-中级专员-高级专员-主任-初级经理-经理千灯湖灯湖东路6号（地铁广佛线千灯湖站C出口）广州星稀信息科技有限责任公司民营公司50-150人",实习生营业部大堂经理,千灯湖灯湖东路6号（地铁广佛线千灯湖站C出口）
银行中心客服（后勤/会计/财务）F,广州星稀信息科技有限责任公司,3-4.5千/月,,佛山-南海区|无工作经验|大专|招10人|01-26发布,"？负责接听广发银行客户的来电咨询与建议，解答客户关于业务方面的问题，为客户提供优质的电话服务？2200元/月+免费住宿+餐补（300元/月）+额外个人奖金（300-1000元/月）毕业薪酬幅度：4200-5500元/月，可优先内部考核转全职员工；？培训期行政班，培训后08:30-22:30内每天工作8小时，月轮休7-8日？佛山南海千灯湖广发金融中心总部（地铁：广佛线千灯湖站附近）？全日制大专或本科实习生、专业不限；2、普通话标准（不要求粤语），表达流畅；3、有志于在金融行业发展。？1、一经录用入职，提供餐补，并享有免费自有员工套间宿舍,4-6人/间；2、享受国家规定的公众假期；享受带薪培训：新员工培训体系—在职员工培训体系+高潜人才培养体系—管理人员培养体系等；3、优秀企业文化，公司强大的平台，提供广阔的发展空间；4、奖励：设有优秀员工奖、***进步奖、优秀管理奖等多个奖项；5、丰富多彩的员工主题活动，如年度旅游、俱乐部活动、生日会、年会等；6、实习期满半年，开具正规实习证明。？1、完善的福利机制：有五险一金及年度带薪年假；2、按照劳动法为员工提供各项综合带薪假期，包括年假、婚假、产假等；3、年终激励奖金、开门利是等，每年有机会享受调薪福利。？实习生-初级专员-中级专员-高级专员-主任-初级经理-经理千灯湖灯湖东路6号（地铁广佛线千灯湖站C出口）广州星稀信息科技有限责任公司民营公司50-150人",客服专员/助理咨询热线/呼叫中心服务人员,千灯湖灯湖东路6号（地铁广佛线千灯湖站C出口）
银行总行客服中心4千/实习生 全职/,广州星稀信息科技有限责任公司,4.5-6千/月,,佛山-南海区|无工作经验|大专|招10人|01-26发布,岗位职责：接听广发银行信用卡客户来电咨询，根据客户需要销售信用卡增值服务应聘要求：1、大专(接受实习生)或以上学历2、普通话标准，表达流畅；3、能适应24小时轮班岗位信息：薪酬待遇：3.3k-5.2k工作时间：每天工作8小时，以日班为主，做五休二福利待遇：1、工作优秀者有机会转编制。2、完善的保险福利：五险一金3、享受带薪年休假4、丰富多彩的员工活动，如运动会、员工生日会、户外拓展活动、年会等。5、年终激励奖金、开门利是（目前每人1000元）、交通补贴（晚上超过十点上下班的，单程60元以内可报销），每年有机会享受调薪千灯湖灯湖东路6号（地铁广佛线千灯湖站C出口）广州星稀信息科技有限责任公司民营公司50-150人,咨询热线/呼叫中心服务人员行政专员/助理,千灯湖灯湖东路6号（地铁广佛线千灯湖站C出口）
双休4K广发银行热线客服文员F,广州星稀信息科技有限责任公司,4.5-6千/月,,佛山-南海区|无工作经验|大专|招10人|01-26发布,岗位职责：接听广发银行信用卡客户来电咨询，根据客户需要销售信用卡增值服务应聘要求：1、大专(接受实习生)或以上学历2、普通话标准，表达流畅；3、能适应24小时轮班岗位信息：薪酬待遇：3.3k-5.2k工作时间：每天工作8小时，以日班为主，做五休二福利待遇：1、工作优秀者有机会转编制。2、完善的保险福利：五险一金3、享受带薪年休假4、丰富多彩的员工活动，如运动会、员工生日会、户外拓展活动、年会等。5、年终激励奖金、开门利是（目前每人1000元）、交通补贴（晚上超过十点上下班的，单程60元以内可报销），每年有机会享受调薪千灯湖灯湖东路6号（地铁广佛线千灯湖站C出口）广州星稀信息科技有限责任公司民营公司50-150人,财务助理/文员信审核查,千灯湖灯湖东路6号（地铁广佛线千灯湖站C出口）
中行客服/文员/后勤（全职/实习生),广州星稀信息科技有限责任公司,4.5-6千/月,,广州-越秀区|无工作经验|大专|招10人|01-26发布,一、岗位职责：负责接听客户来电，为客户提供中国银行相关业务的查询、业务咨询解答、客户投诉处理、客户建议接纳等服务。二、岗位要求：1、中专或以上学历；2、标准、流利的普通话和粤语（粤语会听不会讲亦可）；3、熟悉电脑基本操作和办公软件，打字速度35/分钟或以上；4、有较强的沟通能力和客户服务意识；5、有客服经验者或有金融相关工作经验者优先。三、福利待遇1、上岗后薪酬平均3800-5500元/月，能力优秀者可达更高；试用期平均2835元/月；2、购买五险一金，发放年终奖、忠诚奖、过节费、高温补贴、晚班补贴、交通补贴、节日礼物、电影票等；3、不定期举办业务竞赛类活动（奖励丰厚）及组织各类员工活动（户外拓展活动郊游、运动会、年会、员工生日会等）；4、按国家规定享受各类带薪假期，遇法定节假日上班按标准给予加班费；5、所有员工每年都有晋级机会（从初级晋升为中、高级、质检、班长）；6、每年安排一次免费体检；7、工作满一年享受五天的带薪假期；8、公司提供在职专业知识培训、个人素质能力提升培训、晋升培训。四、工作时间1、7*24小时轮班制，每日工作7-8小时，每月8-10天休息；2、超过22:30下班提供交通补贴，大夜班提供宿舍休息。五、工作条件1、工作地点：广州市越秀区长堤大马路91号（中国银行办公楼）；2、在配备中央空调的舒适机房工作，机房外设有干净饮用水设备；3、设有饭堂，周一至周五饭堂有早、午餐供员工选择，用餐场所舒适，并提供冰箱、微波炉使用；4、设有舒适安静的阅览室、休息室、活动室等，并提供各类专业、休闲书籍给员工阅读；5、配有独立有锁衣鞋储物柜以及专用更衣间。注：此岗位需在五羊新城初试，介意者慎投！长堤大马路91号（中国银行办公楼）广州星稀信息科技有限责任公司民营公司50-150人,投诉专员实习生,长堤大马路91号（中国银行办公楼）
